Title,URL,Reporting guideline acronym,Study design,Clinical area,Language,Reporting guideline provided for?,Applies to the whole report or to individual sections of the report?,Full bibliographic reference,PubMed ID,DOI,Date of publication / Ahead of print date,Reporting guideline website URL,Relevant URLs(full-text if available),Explanation and elaboration papers,Availability in additional languages,Relevant more generic / specialised reporting guidelines,Previous versions of this guideline / Guideline history,Additional information,Other,Selected relevant editorials,"Other relevant research(i.e. research regarding the guideline's effectiveness usability, impact etc.)",Primary guideline publication,Taxonomy terms,Record last updated on,Downloadable files (name|url),Equator-hosted files count
A reporting guideline for clinical platelet transfusion studies from the BEST Collaborative,https://www.equator-network.org/reporting-guidelines/a-reporting-guideline-for-clinical-platelet-transfusion-studies-from-the-best-collaborative/,,"Clinical trials, Experimental studies","Haematology, Oncology",English,Clinical platelet transfusion studies,"Harms/adverse effects/safety data, Intervention (exposure), Outcomes (variables), Procedure/Method","Meyer E, Delaney M, Lin Y, Morris A, Pavenski K, Tinmouth A, Murphy M, Slichter SJ, Heddle N, Dumont LJ. A reporting guideline for clinical platelet transfusion studies from the BEST Collaborative. Transfusion. 2013;53(6):1328-1334.",23003345,,,,,,,,,,,,,,,"August 22, 2013",,0
Conflict of Interest in Peer -Reviewed Medical Journals,https://www.equator-network.org/reporting-guidelines/conflict-of-interest-in-peer-reviewed-medical-journals/,,,,English,Conflict of interest in peer-reviewed medical journals,Conflict of interest,"Fletcher R, Ferris L, World Association of Medical Editors (WAME) Editorial Policy and Publication Ethics Committees. Conflict of Interest in Peer-Reviewed Medical Journals. WAME 2009.",,,,,The conflict of interest policy is available at: http://www.wame.org/conflict-of-interest-in-peer-reviewed-medical-journals,,,,,,,,,,,"January 13, 2022",,0
Figures in clinical trial reports: current practice & scope for improvement,https://www.equator-network.org/reporting-guidelines/figures-in-clinical-trial-reports-current-practice-scope-for-improvement/,,"Clinical trials, Experimental studies",,English,Use of figures in reports of randomised clinical trials,Figures/Graphs,"Pocock SJ, Travison TG, Wruck LM. Figures in clinical trial reports: current practice & scope for improvement. Trials 2007;8:36.",18021449,,,,,,,,,,,,,,,"September 25, 2013",,0
Recommendations for the assessment and reporting of multivariable logistic regression in transplantation literature,https://www.equator-network.org/reporting-guidelines/recommendations-for-the-assessment-and-reporting-of-multivariable-logistic-regression-in-transplantation-literature/,,,"Cardiovascular medicine, Gastroenterology, Renal medicine, Respiratory medicine, Surgery",English,Multivariable logistic regression in organ transplantation,Statistical methods and analyses,"Kalil AC, Mattei J, Florescu DF, Sun J, Kalil RS. Recommendations for the assessment and reporting of multivariable logistic regression in transplantation literature. Am J Transplant. 2010;10(7):1686-1694.",20642690,,,,,,,,,,,,,,,"September 25, 2013",,0
Multiple imputation for missing data in epidemiological and clinical research: potential and pitfalls,https://www.equator-network.org/reporting-guidelines/multiple-imputation-for-missing-data-in-epidemiological-and-clinical-research-potential-and-pitfalls/,,,Public health,English,Analyses affected by missing data and analyses based on multiple imputation,"Data, Statistical methods and analyses","Sterne JA, White IR, Carlin JB, Spratt M, Royston P, Kenward MG, Wood AM, Carpenter JR. Multiple imputation for missing data in epidemiological and clinical research: potential and pitfalls. BMJ. 2009;338:b2393.",19564179,,,,,,,,,,,,,,,"September 25, 2013",,0
Assessing and reporting heterogeneity in treatment effects in clinical trials: a proposal,https://www.equator-network.org/reporting-guidelines/assessing-and-reporting-heterogeneity-in-treatment-effects-in-clinical-trials-a-proposal/,,"Clinical trials, Experimental studies",,English,Multivariate risk-based heterogeneity in treatment effects (HTE) in clinical trials,Statistical methods and analyses,"Kent DM, Rothwell PM, Ioannidis JP, Altman DG, Hayward RA. Assessing and reporting heterogeneity in treatment effects in clinical trials: a proposal. Trials. 2010;11:85.",20704705,,,,,,,,,,,,,,,"September 25, 2013",,0
Basic Statistical Reporting for Articles Published in Biomedical Journals: The “Statistical Analyses and Methods in the Published Literature” or The SAMPL Guidelines,https://www.equator-network.org/reporting-guidelines/sampl/,SAMPL,,,English,Basic statistical reporting for articles published in biomedical journals,Statistical methods and analyses,"Lang TA, Altman DG. Basic statistical reporting for articles published in biomedical journals: the ""Statistical Analyses and Methods in the Published Literature"" or the SAMPL Guidelines. Int J Nurs Stud. 2015;52(1):5-9.",25441757,,,,Download the SAMPL Guidelines (PDF),,,,,"These guidelines will also appear in “Guidelines for reporting health research: A user’s manual,"" which will be released in early September 2013.","The SAMPL guidelines were also published in 2013 in: Smart P, Maisonneuve H, Polderman A (eds). Science Editors' Handbook, European Association of Science Editors, 2013.",,,,,"January 13, 2022",SAMPL Guidelines (PDF)|https://www.equator-network.org/wp-content/uploads/2013/07/SAMPL-Guidelines-6-27-13.pdf,1
Statistics in medicine–reporting of subgroup analyses in clinical trials,https://www.equator-network.org/reporting-guidelines/statistics-in-medicine-reporting-of-subgroup-analyses-in-clinical-trials/,,"Clinical trials, Experimental studies",,English,Subgroup analyses in clinical trials,Statistical methods and analyses,"Wang R, Lagakos SW, Ware JH, Hunter DJ, Drazen JM. Statistics in medicine--reporting of subgroup analyses in clinical trials. N Engl J Med. 2007;357(21):2189-2194.",18032770,,,,,,,,,,,,,,,"September 25, 2013",,0
A comprehensive checklist for reporting the use of OSCEs,https://www.equator-network.org/reporting-guidelines/a-comprehensive-checklist-for-reporting-the-use-of-osces/,,,Medical education,English,Reporting of OSCE studies in medical education,Whole report,"Patricio M, Juliao M, Fareleira F, Young M, Norman G, Vaz CA. A comprehensive checklist for reporting the use of OSCEs. Med Teach. 2009;31(2):112-124.",19330670,,,,,,,,,,,,,,,"September 25, 2013",,0
Bayesian methods in health technology assessment: a review,https://www.equator-network.org/reporting-guidelines/bayesian-methods-in-health-technology-assessment-a-review/,BayesWatch,Systematic reviews/Meta-analyses/Reviews/HTA/Overviews,,English,Bayesian methods in health technology assessments,Statistical methods and analyses,"Spiegelhalter DJ, Myles JP, Jones DR, Abrams KR. Bayesian methods in health technology assessment: a review. Health Technol Assess. 2000;4(38):1-130.",11134920,,,,,,,,,,,,,,,"September 25, 2013",,0
Reporting results of latent growth modeling and multilevel modeling analyses: some recommendations for rehabilitation psychology,https://www.equator-network.org/reporting-guidelines/reporting-results-of-latent-growth-modeling-and-multilevel-modeling-analyses-some-recommendations-for-rehabilitation-psychology/,,Observational studies,"Psychology, Rehabilitation medicine",English,Reporting the findings from studies where multilevel modeling (MLM) and latent growth modeling (LGM) have been used to analyze the data,"Data, Results, Statistical methods and analyses",Jackson DL. Reporting results of latent growth modeling and multilevel modeling analyses: some recommendations for rehabilitation psychology. Rehabil Psychol. 2010;55(3):272-285.,20804271,,,,,,,,,,,,,,,"April 26, 2022",,0
Best practices in the reporting of participatory action research: Embracing both the forest and the trees,https://www.equator-network.org/reporting-guidelines/best-practices-in-the-reporting-of-participatory-action-research-embracing-both-the-forest-and-the-trees/,,,Psychology,English,Participatory action research,Whole report,"Smith L, Rosenzweig L, Schmidt M. Best practices in the reporting of participatory action research: Embracing both the forest and the trees. The Counselling Psychologist. 2010;38(8):1115-1138.",,,,,,,,,,,,,,,,"September 25, 2013",,0
Establishing a knowledge trail from molecular experiments to clinical trials,https://www.equator-network.org/reporting-guidelines/establishing-a-knowledge-trail-from-molecular-experiments-to-clinical-trials/,GIATE,"Animal pre-clinical research, Clinical trials, Experimental studies, Other",,English,Recording therapy experiment design and results (specifically addressing antibody therapies),Data,"Yong MY, González-Beltrán A, Begent R. Establishing a knowledge trail from molecular experiments to clinical trials. N Biotechnol. 2011;28(5):464-480.",21473938,,,http://www.ucl.ac.uk/csm/projects/giate/resources,Further information about GIATE is available from: http://www.ucl.ac.uk/csm/projects/giate/resources,,,,,,,,,,,"January 13, 2022",,0
Seven items were identified for inclusion when reporting a Bayesian analysis of a clinical study,https://www.equator-network.org/reporting-guidelines/seven-items-were-identified-for-inclusion-when-reporting-a-bayesian-analysis-of-a-clinical-study/,ROBUST,,,English,Bayesian analysis of a clinical study,Statistical methods and analyses,"Sung L, Hayden J, Greenberg ML, Koren G, Feldman BM, Tomlinson GA. Seven items were identified for inclusion when reporting a Bayesian analysis of a clinical study. J Clin Epidemiol. 2005;58(3):261-268.",15718115,,,,,,,,,,,,,,,"September 25, 2013",,0
"Preparing raw clinical data for publication: guidance for journal editors, authors, and peer reviewers",https://www.equator-network.org/reporting-guidelines/preparing-raw-clinical-data-for-publication-guidance-for-journal-editors-authors-and-peer-reviewers/,,"Clinical trials, Experimental studies, Observational studies",,English,De-identifying datasets to ensure patient privacy when sharing clinical research data,Data,"Hrynaszkiewicz I, Norton ML, Vickers AJ, Altman DG. Preparing raw clinical data for publication: guidance for journal editors, authors, and peer reviewers. BMJ. 2010;340:c181. PMID: 20110312 Trials. 2010;11:9 PMID: 20113465",,,,,,,,,,,,,,,,"January 13, 2022",,0
Perspective: Guidelines for reporting team-based learning activities in the medical and health sciences education literature,https://www.equator-network.org/reporting-guidelines/perspective-guidelines-for-reporting-team-based-learning-activities-in-the-medical-and-health-sciences-education-literature/,,,Medical education,English,Team-based learning activities in the medical and health sciences education literature,Whole report,"Haidet P, Levine RE, Parmelee DX, Crow S, Kennedy F, Kelly PA, Perkowski L, Michaelsen L, Richards BF. Perspective: Guidelines for reporting team-based learning activities in the medical and health sciences education literature. Acad Med. 2012;87(3):292-299.",22373620,,,,,,,,,,,,,,,"January 27, 2015",,0
Quality of standardised patient research reports in the medical education literature: review and recommendations,https://www.equator-network.org/reporting-guidelines/quality-of-standardised-patient-research-reports-in-the-medical-education-literature-review-and-recommendations/,,,Medical education,English,Reporting the use of standardised patients (SPs) in research,"Outcomes (variables), Procedure/Method","Howley L, Szauter K, Perkowski L, Clifton M, McNaughton N. Quality of standardised patient research reports in the medical education literature: review and recommendations. Med Educ. 2008;42(4):350-358.",18298448,,,,,,,,,,,,,,,"September 25, 2013",,0
Development and use of reporting guidelines for assessing the quality of validation studies of health administrative data,https://www.equator-network.org/reporting-guidelines/development-and-use-of-reporting-guidelines-for-assessing-the-quality-of-validation-studies-of-health-administrative-data/,,,,English,Studies validating administrative data identification algorithms,Whole report,"Benchimol EI, Manuel DG, To T, Griffiths AM, Rabeneck L, Guttmann A. Development and use of reporting guidelines for assessing the quality of validation studies of health administrative data. J Clin Epidemiol. 2011;64(8):821-829.",21194889,,,,,,,,,,,,,,,"January 27, 2015",,0
Authors’ Submission Toolkit: a practical guide to getting your research published,https://www.equator-network.org/reporting-guidelines/authors-submission-toolkit-a-practical-guide-to-getting-your-research-published/,,,Pharmaceutical medicine,English,Best practice in the preparation and submission of manuscripts describing sponsored research,Whole report,"Chipperfield L, Citrome L, Clark J, David FS, Enck R, Evangelista M, Gonzalez J, Groves T, Magrann J, Mansi B, Miller C, Mooney LA, Murphy A, Shelton J, Walson PD, Weigel A. Authors' Submission Toolkit: a practical guide to getting your research published. Curr Med Res Opin. 2010;26(8):1967-1982.",20569069,,,,,,,,,,,,,,,"September 26, 2013",,0
A new structure for quality improvement reports,https://www.equator-network.org/reporting-guidelines/a-new-structure-for-quality-improvement-reports/,,Quality improvement studies,,English,Quality improvement reports,Whole report,"Moss F, Thompson R. A new structure for quality improvement reports. Qual Health Care. 1999;8(2):76.",10557680,,,,,,,,,,,,,,,"September 26, 2013",,0
Standardized reporting of clinical practice guidelines: a proposal from the Conference on Guideline Standardization,https://www.equator-network.org/reporting-guidelines/standardized-reporting-of-clinical-practice-guidelines-a-proposal-from-the-conference-on-guideline-standardization/,COGS,Clinical practice guidelines,,English,To support more comprehensive documentation of practice guidelines.,Whole report,"Shiffman RN, Shekelle P, Overhage JM, Slutsky J, Grimshaw J, Deshpande AM. Standardized reporting of clinical practice guidelines: a proposal from the Conference on Guideline Standardization. Ann Intern Med. 2003;139(6):493-498.",13679327,,,,,,,Clinical practice guidelines,,,,,,,,"February 16, 2016",,0
Good Publication Practice (GPP) Guidelines for Company -Sponsored Biomedical Research: 2022 Update,https://www.equator-network.org/reporting-guidelines/good-publication-practice-for-communicating-company-sponsored-medical-research-gpp2022/,,,,English,Communicating company sponsored medical research,"Acknowledgements, Conflict of interest, Ethical issues (consent etc.)","DeTora LM, Toroser D, Sykes A, Vanderlinden C, Plunkett FJ, Lane T, Hanekamp E, Dormer L, DiBiasi F, Bridges D, Baltzer L, Citrome L. Good Publication Practice (GPP) Guidelines for Company-Sponsored Biomedical Research: 2022 Update. Ann Intern Med. 2022;175(9):1298-1304.",36037471,,,,,,,,"GPP 2022 replaces GPP3 [Battisti et al. 2015: PMID: 26259067], GPP2 [Graf et al. 2009; PMID: 19946142] and GPP [Wager et al. 2003; PMID: 12814125].",,,,,,,"September 27, 2024",,0
